##x-axis,1,2,4
##second,Volt,Volt,Volt
#-6.20000E-06,,,
-1.07500E-06,+3.95126185035E+00,-24.93357989879E+00,+2.75884380E-03
-1.05000E-06,+3.95751499065E+00,-24.93665377966E+00,+2.89129027E-03
-1.02500E-06,+3.96989961101E+00,-24.95392350334E+00,+3.12661325E-03
-1.00000E-06,+3.94363305988E+00,-24.95336178581E+00,+3.04418336E-03
-975.00E-09,+3.95896387062E+00,-24.95357408820E+00,+3.02626141E-03
-950.00E-09,+3.96841959988E+00,-24.95889608294E+00,+3.11783771E-03
-925.00E-09,+3.94993267078E+00,-24.95186553070E+00,+3.29893378E-03
-900.00E-09,+3.93608077818E+00,-24.94252701438E+00,+3.24185664E-03
-875.00E-09,+3.93695783996E+00,-24.92397397869E+00,+3.17811874E-03
-850.00E-09,+3.95446466544E+00,-24.96384567222E+00,+3.41746854E-03
-825.00E-09,+3.95891152054E+00,-24.94540864342E+00,+3.32092567E-03
-800.00E-09,+3.96202636940E+00,-24.94333288155E+00,+3.33821375E-03
-775.00E-09,+3.97735887614E+00,-24.96068276983E+00,+3.31898966E-03
-750.00E-09,+3.94760797276E+00,-24.94792182435E+00,+3.45755862E-03
-725.00E-09,+3.94715581728E+00,-24.96099856635E+00,+3.22624198E-03
-700.00E-09,+3.95654758823E+00,-24.95560390713E+00,+3.26883724E-03
-675.00E-09,+3.95008915569E+00,-24.94055504814E+00,+3.37279285E-03
-650.00E-09,+3.94170296617E+00,-24.92455348545E+00,+3.16278807E-03
-625.00E-09,+3.92822770021E+00,-24.93612933659E+00,+3.20984758E-03
-600.00E-09,+3.95049759188E+00,-24.94625016443E+00,+3.22203163E-03
-575.00E-09,+3.93646452805E+00,-24.94514553619E+00,+3.17229509E-03
-550.00E-09,+3.94982160116E+00,-24.94774057773E+00,+3.07780293E-03
-525.00E-09,+3.95510432392E+00,-24.93165979268E+00,+3.03778765E-03
-500.00E-09,+3.97641382333E+00,-24.94779285244E+00,+3.02396753E-03
-475.00E-09,+3.94186876029E+00,-24.94762867896E+00,+3.01356144E-03
-450.00E-09,+3.94653029219E+00,-24.93604389552E+00,+2.90213251E-03
-425.00E-09,+3.93044720810E+00,-24.93364510084E+00,+2.96252347E-03
-400.00E-09,+3.95555651708E+00,-24.93253794744E+00,+2.88719269E-03
-375.00E-09,+3.95507699936E+00,-24.94187344864E+00,+2.84451690E-03
-350.00E-09,+3.94908270742E+00,-24.92631043569E+00,+2.83022338E-03
-325.00E-09,+3.95939759616E+00,-24.95548043781E+00,+2.63542457E-03
-300.00E-09,+3.95429385868E+00,-24.93355992360E+00,+2.68720150E-03
